Population,Replicate,Treatment,Species,Group,Tray,Position,Elevation,Latitude,Longitude,germ_date,transplant date,first_flower,flowering_time,hgt_first_flower,flowers_10days,time pollen collection,# flowers for pollen,successful_self,total_self,viable_pollen,total_pollen,Notes
DWF,5,C,guttatus,low,5,8,10,36.320614,-117.521642,13-Jun,16-Jun,23-Jul,42,411.6,53,,2,5,5,96,100,
DWF,6,C,guttatus,low,8,10,10,36.320614,-117.521642,13-Jun,16-Jun,25-Jul,44,263.5,34,,2,5,5,91,100,
DWF,7,C,guttatus,low,8,11,10,36.320614,-117.521642,13-Jun,16-Jun,22-Jul,41,412.7,31,,2,4,5,94,100,
DWF,8,C,guttatus,low,2,7,10,36.320614,-117.521642,13-Jun,16-Jun,23-Jul,42,305.4,47,,2,5,5,54,100,
DWF,9,C,guttatus,low,2,13,10,36.320614,-117.521642,13-Jun,16-Jun,24-Jul,43,287.8,56,,2,5,5,96,100,
DWF,1,H,guttatus,low,14,2,10,36.320614,-117.521642,13-Jun,16-Jun,19-Jul,38,272.4,65,,2,5,5,63,100,
DWF,2,H,guttatus,low,15,14,10,36.320614,-117.521642,13-Jun,16-Jun,15-Jul,32,332.5,61,,2,5,5,89,100,
DWF,3,H,guttatus,low,14,14,10,36.320614,-117.521642,13-Jun,16-Jun,21-Jul,40,223.2,56,,2,5,5,41,100,
DWF,4,H,guttatus,low,12,6,10,36.320614,-117.521642,,3-Jul,7-Aug,,219.9,25,,2,5,5,98,100,
DWF,5,H,guttatus,low,16,9,10,36.320614,-117.521642,13-Jun,16-Jun,14-Jul,31,252.7,26,,2,5,5,51,100,
DWF,6,H,guttatus,low,12,5,10,36.320614,-117.521642,13-Jun,17-Jun,28-Jul,45,231.5,44,,2,4,5,70,100,
DWF,7,H,guttatus,low,10,15,10,36.320614,-117.521642,13-Jun,18-Jun,21-Jul,40,268.5,20,,2,5,5,96,100,
DWF,8,H,guttatus,low,16,16,10,36.320614,-117.521642,14-Jun,19-Jun,16-Jul,32,251.9,31,,2,5,5,96,100,
DWF,9,H,guttatus,low,10,11,10,36.320614,-117.521642,13-Jun,20-Jun,19-Jul,38,259.1,49,,2,4,5,50,100,
GCR,1,C,guttatus,low,3,16,1402.08,39.493006,-106.840435,,3-Jul,1-Aug,,194.2,9,,1,5,5,98,100,
GCR,2,C,guttatus,low,2,17,1402.08,39.493006,-106.840435,,3-Jul,1-Aug,,115,7,,1,4,5,97,100,
GCR,3,C,guttatus,low,6,16,1402.08,39.493006,-106.840435,14-Jun,20-Jun,29-Jul,47,160.4,9,,2,5,5,97,100,
GCR,4,C,guttatus,low,2,10,1402.08,39.493006,-106.840435,14-Jun,21-Jun,8-Aug,57,137.2,5,,,4,5,,,
GCR,5,C,guttatus,low,3,11,1402.08,39.493006,-106.840435,14-Jun,22-Jun,23-Jul,41,214.3,15,,2,4,5,97,100,
GCR,6,C,guttatus,low,3,12,1402.08,39.493006,-106.840435,13-Jun,23-Jun,19-Jul,38,133.4,20,,2,5,5,20,25,
GCR,7,C,guttatus,low,1,3,1402.08,39.493006,-106.840435,,3-Jul,28-Jul,,162.2,9,,2,5,5,95,100,
GCR,8,C,guttatus,low,4,6,1402.08,39.493006,-106.840435,,3-Jul,3-Aug,,106.1,6,,1,4,5,98,100,
GCR,9,C,guttatus,low,4,7,1402.08,39.493006,-106.840435,13-Jun,20-Jun,26-Jul,45,224.5,26,,2,4,5,97,100,
GCR,1,H,guttatus,low,10,6,1402.08,39.493006,-106.840435,13-Jun,20-Jun,31-Jul,50,118.4,4,,1,,,97,100,
GCR,2,H,guttatus,low,12,4,1402.08,39.493006,-106.840435,13-Jun,20-Jun,,,,17,,2,2,5,97,100,
GCR,3,H,guttatus,low,13,16,1402.08,39.493006,-106.840435,13-Jun,20-Jun,29-Jul,48,142.6,7,,1,,,86,100,
GCR,4,H,guttatus,low,9,10,1402.08,39.493006,-106.840435,13-Jun,20-Jun,26-Jul,45,143.5,4,,,4,4,,,
GCR,5,H,guttatus,low,10,2,1402.08,39.493006,-106.840435,14-Jun,20-Jun,22-Jul,40,174.3,10,,2,3,5,65,100,
GCR,6,H,guttatus,low,12,1,1402.08,39.493006,-106.840435,13-Jun,20-Jun,26-Jul,45,227.1,16,,2,5,5,91,100,
GCR,7,H,guttatus,low,10,9,1402.08,39.493006,-106.840435,,3-Jul,30-Jul,,165.6,8,,1,5,5,95,100,
GCR,8,H,guttatus,low,16,11,1402.08,39.493006,-106.840435,13-Jun,20-Jun,30-Jul,49,147.6,2,,,,,,,
GCR,9,H,guttatus,low,16,4,1402.08,39.493006,-106.840435,13-Jun,20-Jun,26-Jul,45,122.2,1,,,,,,,
GJR,1,C,guttatus,high,1,7,2781.5,39.480002,-106.788239,,3-Jul,22-Jul,,131.5,13,,2,5,5,96,100,
GJR,2,C,guttatus,high,6,5,2781.5,39.480002,-106.788239,13-Jun,15-Jun,10-Jul,27,86.1,9,,2,5,5,96,100,
GJR,3,C,guttatus,high,4,15,2781.5,39.480002,-106.788239,13-Jun,15-Jun,15-Jul,32,123.8,17,,2,5,5,97,100,
GJR,4,C,guttatus,high,7,12,2781.5,39.480002,-106.788239,13-Jun,15-Jun,8-Jul,25,91.1,10,,2,5,5,46,48,
GJR,5,C,guttatus,high,3,4,2781.5,39.480002,-106.788239,13-Jun,15-Jun,7-Jul,24,50.9,18,,2,5,5,94,100,
GJR,6,C,guttatus,high,1,6,2781.5,39.480002,-106.788239,13-Jun,15-Jun,13-Jul,30,94.1,5,,2,5,5,99,100,
GJR,7,C,guttatus,high,4,11,2781.5,39.480002,-106.788239,13-Jun,15-Jun,11-Jul,28,81.5,12,,2,5,5,44,44,
GJR,8,C,guttatus,high,2,16,2781.5,39.480002,-106.788239,13-Jun,15-Jun,13-Jul,30,81.3,12,,2,5,5,99,100,
GJR,9,C,guttatus,high,3,6,2781.5,39.480002,-106.788239,13-Jun,15-Jun,10-Jul,27,102.2,39,,2,5,5,98,100,
GJR,1,H,guttatus,high,11,14,2781.5,39.480002,-106.788239,13-Jun,15-Jun,12-Jul,29,105.4,30,,2,2,5,91,100,
GJR,2,H,guttatus,high,14,17,2781.5,39.480002,-106.788239,13-Jun,15-Jun,15-Jul,32,122.2,17,,2,1,5,70,83,
GJR,3,H,guttatus,high,9,6,2781.5,39.480002,-106.788239,13-Jun,15-Jun,19-Jul,36,165.4,35,,2,3,5,80,100,
GJR,4,H,guttatus,high,13,7,2781.5,39.480002,-106.788239,13-Jun,15-Jun,17-Jul,34,92.3,11,,2,1,5,72,100,
GJR,5,H,guttatus,high,11,10,2781.5,39.480002,-106.788239,13-Jun,15-Jun,25-Jul,42,190.2,13,,2,5,5,85,100,
GJR,6,H,guttatus,high,10,1,2781.5,39.480002,-106.788239,13-Jun,15-Jun,14-Jul,31,102.3,30,,2,3,5,86,100,
GJR,7,H,guttatus,high,10,14,2781.5,39.480002,-106.788239,13-Jun,15-Jun,19-Jul,36,173.6,23,,2,4,5,72,100,
GJR,8,H,guttatus,high,11,7,2781.5,39.480002,-106.788239,13-Jun,15-Jun,23-Jul,40,131.3,16,,2,5,5,77,100,
GJR,9,H,guttatus,high,16,3,2781.5,39.480002,-106.788239,13-Jun,15-Jun,15-Jul,32,143.9,24,,2,1,5,85,100,
NOC,1,C,guttatus,low,2,1,1462.2,36.84194,-118.261097,13-Jun,16-Jun,19-Aug,36,325.2,12,,2,5,5,92,100,
NOC,2,C,guttatus,low,3,2,1462.2,36.84194,-118.261097,13-Jun,16-Jun,,,,,,,,,,,
NOC,3,C,guttatus,low,7,1,1462.2,36.84194,-118.261097,13-Jun,16-Jun,,,,,,,,,,,
NOC,4,C,guttatus,low,1,5,1462.2,36.84194,-118.261097,13-Jun,16-Jun,28-Jul,47,157.8,9,,2,5,5,93,100,
NOC,5,C,guttatus,low,3,15,1462.2,36.84194,-118.261097,13-Jun,16-Jun,,,,,,,,,,,
NOC,6,C,guttatus,low,4,16,1462.2,36.84194,-118.261097,13-Jun,16-Jun,,,,,,,,,,,
NOC,7,C,guttatus,low,2,9,1462.2,36.84194,-118.261097,13-Jun,16-Jun,12-Aug,60,368.4,12,,2,5,5,95,100,
NOC,8,C,guttatus,low,7,13,1462.2,36.84194,-118.261097,13-Jun,16-Jun,7-Sep,,226.3,,,2,,,95,100,
NOC,9,C,guttatus,low,5,3,1462.2,36.84194,-118.261097,13-Jun,16-Jun,,,,,,,,,,,
NOC,1,H,guttatus,low,10,8,1462.2,36.84194,-118.261097,13-Jun,16-Jun,,,,,,,,,,,
NOC,2,H,guttatus,low,11,2,1462.2,36.84194,-118.261097,13-Jun,16-Jun,4-Aug,52,317.2,15,,2,5,5,12,100,
NOC,3,H,guttatus,low,13,3,1462.2,36.84194,-118.261097,13-Jun,16-Jun,,,,,,,,,,,
NOC,4,H,guttatus,low,11,12,1462.2,36.84194,-118.261097,13-Jun,16-Jun,,,,,,,,,,,
NOC,5,H,guttatus,low,10,16,1462.2,36.84194,-118.261097,13-Jun,16-Jun,8-Aug,56,176.2,10,,2,5,5,72,100,
NOC,6,H,guttatus,low,15,1,1462.2,36.84194,-118.261097,13-Jun,16-Jun,1-Aug,49,281.9,25,,2,3,5,13,100,
