Label	Pop	Family	Treatment	Block	Number	Latitude	Longitude	Elevation	Elevation_Cat	Low_Side	Treat_Block_Number	Flowered	Viable.Pollen	Inviable.Pollen	Total.Pollen	Prop.Viable
LPM_H_8_71	LPM	LPM_1	H	8	71	37.63207	-118.99653	2594	High	NA	H_8_71	1	181	62	243	0.744855967
SAW_H_8_72	SAW	SAW_26	H	8	72	37.2033	-119.4137	1207.62	Low	W	H_8_72	1	26	64	90	0.288888889
DWF_H_9_73	DWF	DWF_6	H	9	73	36.320614	-117.521642	24	Low	E	H_9_73	1	282	77	359	0.78551532
HME_H_9_74	HME	HME_1_G1	H	9	74	36.460418	-118.161644	3048	High	NA	H_9_74	0	NA	NA	NA	NA
LPM_H_9_75	LPM	LPM_1	H	9	75	37.63207	-118.99653	2594	High	NA	H_9_75	1	124	22	146	0.849315068
JMS_H_9_76	JMS	JMS_2	H	9	76	37.7653915	-119.0947999	2651	High	NA	H_9_76	1	169	80	249	0.678714859
JMS_H_9_77	JMS	JMS_2	H	9	77	37.7653915	-119.0947999	2651	High	NA	H_9_77	1	103	9	112	0.919642857
DWF_H_9_78	DWF	DWF_6	H	9	78	36.320614	-117.521642	24	Low	E	H_9_78	1	347	155	502	0.69123506
SAW_H_9_79	SAW	SAW_26	H	9	79	37.2033	-119.4137	1207.62	Low	W	H_9_79	1	21	13	34	0.617647059
HME_H_9_80	HME	HME_1_G1	H	9	80	36.460418	-118.161644	3048	High	NA	H_9_80	1	1	45	46	0.02173913
HME_H_9_81	HME	HME_1_G1	H	9	81	36.460418	-118.161644	3048	High	NA	H_9_81	0	NA	NA	NA	NA
DLW_H_10_82	DLW	DLW_55	H	10	82	37.06770746	-118.2638616	1249	Low	E	H_10_82	0	NA	NA	NA	NA
DWF_H_10_83	DWF	DWF_6	H	10	83	36.320614	-117.521642	24	Low	E	H_10_83	1	56	55	111	0.504504505
NLC_H_10_84	NLC	NLC_1	H	10	84	37.22731	-118.6276	3282	High	NA	H_10_84	1	493	333	826	0.5968523
JMS_H_10_85	JMS	JMS_2	H	10	85	37.7653915	-119.0947999	2651	High	NA	H_10_85	1	29	59	88	0.329545455
NLC_H_10_86	NLC	NLC_1	H	10	86	37.22731	-118.6276	3282	High	NA	H_10_86	1	36	116	152	0.236842105
DLW_H_10_87	DLW	DLW_55	H	10	87	37.06770746	-118.2638616	1249	Low	E	H_10_87	1	493	82	575	0.857391304
DWF_H_10_88	DWF	DWF_6	H	10	88	36.320614	-117.521642	24	Low	E	H_10_88	1	170	62	232	0.732758621
SAW_H_10_89	SAW	SAW_26	H	10	89	37.2033	-119.4137	1207.62	Low	W	H_10_89	1	1	14	15	0.066666667
DLW_H_10_90	DLW	DLW_55	H	10	90	37.06770746	-118.2638616	1249	Low	E	H_10_90	1	651	82	733	0.888130969
